,interval,kWh
0,2020-01-01T00:00,0.199
1,2020-01-01T00:15,0.199
2,2020-01-01T00:30,0.199
3,2020-01-01T00:45,0.199
4,2020-01-01T01:00,0.199
5,2020-01-01T01:15,0.199
6,2020-01-01T01:30,0.199
7,2020-01-01T01:45,0.199
8,2020-01-01T02:00,0.199
9,2020-01-01T02:15,0.199
10,2020-01-01T02:30,0.199
11,2020-01-01T02:45,0.199
12,2020-01-01T03:00,0.199
13,2020-01-01T03:15,0.199
14,2020-01-01T03:30,0.199
15,2020-01-01T03:45,0.199
16,2020-01-01T04:00,0.199
17,2020-01-01T04:15,0.199
18,2020-01-01T04:30,0.199
19,2020-01-01T04:45,0.199
20,2020-01-01T05:00,0.199
21,2020-01-01T05:15,0.199
22,2020-01-01T05:30,0.199
23,2020-01-01T05:45,0.199
24,2020-01-01T06:00,0.199
25,2020-01-01T06:15,0.199
26,2020-01-01T06:30,0.199
27,2020-01-01T06:45,0.199
28,2020-01-01T07:00,0.199
29,2020-01-01T07:15,0.199
30,2020-01-01T07:30,0.199
31,2020-01-01T07:45,0.199
32,2020-01-01T08:00,0.199
33,2020-01-01T08:15,0.199
34,2020-01-01T08:30,0.199
35,2020-01-01T08:45,0.199
36,2020-01-01T09:00,0.199
37,2020-01-01T09:15,0.199
38,2020-01-01T09:30,0.199
39,2020-01-01T09:45,0.199
40,2020-01-01T10:00,0.199
41,2020-01-01T10:15,0.199
42,2020-01-01T10:30,0.199
43,2020-01-01T10:45,0.199
44,2020-01-01T11:00,0.199
45,2020-01-01T11:15,0.199
46,2020-01-01T11:30,0.199
47,2020-01-01T11:45,0.199
48,2020-01-01T12:00,0.199
49,2020-01-01T12:15,0.199
50,2020-01-01T12:30,0.199
51,2020-01-01T12:45,0.199
52,2020-01-01T13:00,0.199
53,2020-01-01T13:15,0.199
54,2020-01-01T13:30,0.199
55,2020-01-01T13:45,0.199
56,2020-01-01T14:00,0.199
57,2020-01-01T14:15,0.199
58,2020-01-01T14:30,0.199
59,2020-01-01T14:45,0.199
60,2020-01-01T15:00,0.199
61,2020-01-01T15:15,0.199
62,2020-01-01T15:30,0.199
63,2020-01-01T15:45,0.199
64,2020-01-01T16:00,0.199
65,2020-01-01T16:15,0.199
66,2020-01-01T16:30,0.199
67,2020-01-01T16:45,0.199
68,2020-01-01T17:00,0.199
69,2020-01-01T17:15,0.199
70,2020-01-01T17:30,0.199
71,2020-01-01T17:45,0.199
72,2020-01-01T18:00,0.199
73,2020-01-01T18:15,0.199
74,2020-01-01T18:30,0.199
75,2020-01-01T18:45,0.199
76,2020-01-01T19:00,0.199
77,2020-01-01T19:15,0.199
78,2020-01-01T19:30,0.199
79,2020-01-01T19:45,0.199
80,2020-01-01T20:00,0.199
81,2020-01-01T20:15,0.199
82,2020-01-01T20:30,0.199
83,2020-01-01T20:45,0.199
84,2020-01-01T21:00,0.199
85,2020-01-01T21:15,0.199
86,2020-01-01T21:30,0.199
87,2020-01-01T21:45,0.199
88,2020-01-01T22:00,0.199
89,2020-01-01T22:15,0.199
90,2020-01-01T22:30,0.199
91,2020-01-01T22:45,0.199
92,2020-01-01T23:00,0.199
93,2020-01-01T23:15,0.199
94,2020-01-01T23:30,0.199
95,2020-01-01T23:45,0.199
96,2020-01-02T00:00,0.199
97,2020-01-02T00:15,0.199
98,2020-01-02T00:30,0.199
99,2020-01-02T00:45,0.199
100,2020-01-02T01:00,0.199
101,2020-01-02T01:15,0.199
102,2020-01-02T01:30,0.199
103,2020-01-02T01:45,0.199
104,2020-01-02T02:00,0.199
105,2020-01-02T02:15,0.199
106,2020-01-02T02:30,0.199
107,2020-01-02T02:45,0.199
108,2020-01-02T03:00,0.199
109,2020-01-02T03:15,0.199
110,2020-01-02T03:30,0.199
111,2020-01-02T03:45,0.199
112,2020-01-02T04:00,0.199
113,2020-01-02T04:15,0.199
114,2020-01-02T04:30,0.199
115,2020-01-02T04:45,0.199
116,2020-01-02T05:00,0.199
117,2020-01-02T05:15,0.199
118,2020-01-02T05:30,0.199
119,2020-01-02T05:45,0.199
120,2020-01-02T06:00,0.199
121,2020-01-02T06:15,0.199
122,2020-01-02T06:30,0.199
123,2020-01-02T06:45,0.199
124,2020-01-02T07:00,0.199
125,2020-01-02T07:15,0.199
126,2020-01-02T07:30,0.199
127,2020-01-02T07:45,0.199
128,2020-01-02T08:00,0.199
129,2020-01-02T08:15,0.199
130,2020-01-02T08:30,0.199
131,2020-01-02T08:45,0.199
132,2020-01-02T09:00,0.199
133,2020-01-02T09:15,0.199
134,2020-01-02T09:30,0.199
135,2020-01-02T09:45,0.199
136,2020-01-02T10:00,0.199
137,2020-01-02T10:15,0.199
138,2020-01-02T10:30,0.199
139,2020-01-02T10:45,0.199
140,2020-01-02T11:00,0.199
141,2020-01-02T11:15,0.199
142,2020-01-02T11:30,0.199
143,2020-01-02T11:45,0.199
144,2020-01-02T12:00,0.199
145,2020-01-02T12:15,0.199
146,2020-01-02T12:30,0.199
147,2020-01-02T12:45,0.199
148,2020-01-02T13:00,0.199
149,2020-01-02T13:15,0.199
150,2020-01-02T13:30,0.199
151,2020-01-02T13:45,0.199
152,2020-01-02T14:00,0.199
153,2020-01-02T14:15,0.199
154,2020-01-02T14:30,0.199
155,2020-01-02T14:45,0.199
156,2020-01-02T15:00,0.199
157,2020-01-02T15:15,0.199
158,2020-01-02T15:30,0.199
159,2020-01-02T15:45,0.199
160,2020-01-02T16:00,0.199
161,2020-01-02T16:15,0.199
162,2020-01-02T16:30,0.199
163,2020-01-02T16:45,0.199
164,2020-01-02T17:00,0.199
165,2020-01-02T17:15,0.199
166,2020-01-02T17:30,0.199
167,2020-01-02T17:45,0.199
168,2020-01-02T18:00,0.199
169,2020-01-02T18:15,0.199
170,2020-01-02T18:30,0.199
171,2020-01-02T18:45,0.199
172,2020-01-02T19:00,0.199
173,2020-01-02T19:15,0.199
174,2020-01-02T19:30,0.199
175,2020-01-02T19:45,0.199
176,2020-01-02T20:00,0.199
177,2020-01-02T20:15,0.199
178,2020-01-02T20:30,0.199
179,2020-01-02T20:45,0.199
180,2020-01-02T21:00,0.199
181,2020-01-02T21:15,0.199
182,2020-01-02T21:30,0.199
183,2020-01-02T21:45,0.199
184,2020-01-02T22:00,0.199
185,2020-01-02T22:15,0.199
186,2020-01-02T22:30,0.199
187,2020-01-02T22:45,0.199
188,2020-01-02T23:00,0.199
189,2020-01-02T23:15,0.199
190,2020-01-02T23:30,0.199
191,2020-01-02T23:45,0.199
192,2020-01-03T00:00,0.199
193,2020-01-03T00:15,0.199
194,2020-01-03T00:30,0.199
195,2020-01-03T00:45,0.199
196,2020-01-03T01:00,0.199
197,2020-01-03T01:15,0.199
198,2020-01-03T01:30,0.199
199,2020-01-03T01:45,0.199
200,2020-01-03T02:00,0.199
201,2020-01-03T02:15,0.199
202,2020-01-03T02:30,0.199
203,2020-01-03T02:45,0.199
204,2020-01-03T03:00,0.199
205,2020-01-03T03:15,0.199
206,2020-01-03T03:30,0.199
207,2020-01-03T03:45,0.199
208,2020-01-03T04:00,0.199
209,2020-01-03T04:15,0.199
210,2020-01-03T04:30,0.199
211,2020-01-03T04:45,0.199
212,2020-01-03T05:00,0.199
