interval,Power (W)
2020-01-01T00:00,645.8161
2020-01-01T00:15,480.78354
2020-01-01T00:30,445.86115
2020-01-01T00:45,451.21756
2020-01-01T01:00,523.9545
2020-01-01T01:15,515.89264
2020-01-01T01:30,340.274
2020-01-01T01:45,529.07
2020-01-01T02:00,424.58682
2020-01-01T02:15,321.03308
2020-01-01T02:30,333.20847
2020-01-01T02:45,480.49954
2020-01-01T03:00,323.72162
2020-01-01T03:15,324.82465
2020-01-01T03:30,358.7363
2020-01-01T03:45,473.3302
2020-01-01T04:00,333.00552
2020-01-01T04:15,337.7494
2020-01-01T04:30,425.58597
2020-01-01T04:45,452.71622
2020-01-01T05:00,339.40924
2020-01-01T05:15,354.94882
2020-01-01T05:30,392.07678
2020-01-01T05:45,392.64047
2020-01-01T06:00,326.26202
2020-01-01T06:15,337.27405
2020-01-01T06:30,532.7403
2020-01-01T06:45,342.04227
2020-01-01T07:00,364.0102
2020-01-01T07:15,394.23517
2020-01-01T07:30,412.10867
2020-01-01T07:45,337.17566
2020-01-01T08:00,433.17737
2020-01-01T08:15,469.70178
2020-01-01T08:30,484.4848
2020-01-01T08:45,452.16864
2020-01-01T09:00,374.41367
2020-01-01T09:15,497.38745
2020-01-01T09:30,337.09024
2020-01-01T09:45,524.9206
2020-01-01T10:00,555.46
2020-01-01T10:15,551.9341
2020-01-01T10:30,526.8491
2020-01-01T10:45,578.6555
2020-01-01T11:00,912.37854
2020-01-01T11:15,557.0588
2020-01-01T11:30,479.9723
2020-01-01T11:45,812.01013
2020-01-01T12:00,900.1726
2020-01-01T12:15,704.8507
2020-01-01T12:30,719.25183
2020-01-01T12:45,631.8239
2020-01-01T13:00,696.7284
2020-01-01T13:15,585.6994
2020-01-01T13:30,597.1403
2020-01-01T13:45,707.2853
2020-01-01T14:00,578.3256
2020-01-01T14:15,575.52545
2020-01-01T14:30,564.8825
2020-01-01T14:45,671.0837
2020-01-01T15:00,549.6154
2020-01-01T15:15,717.8541
2020-01-01T15:30,697.63007
2020-01-01T15:45,715.4444
2020-01-01T16:00,820.0916
2020-01-01T16:15,802.2993
2020-01-01T16:30,860.3053
2020-01-01T16:45,659.878
2020-01-01T17:00,994.7262
2020-01-01T17:15,877.43604
2020-01-01T17:30,1038.0499
2020-01-01T17:45,1006.4021
2020-01-01T18:00,1197.1061
2020-01-01T18:15,1757.2891
2020-01-01T18:30,1283.4066
2020-01-01T18:45,756.7523
2020-01-01T19:00,798.2117
2020-01-01T19:15,670.2672
2020-01-01T19:30,606.61237
2020-01-01T19:45,501.97034
2020-01-01T20:00,665.00366
2020-01-01T20:15,639.16504
2020-01-01T20:30,701.56055
2020-01-01T20:45,671.13654
2020-01-01T21:00,758.119
2020-01-01T21:15,720.64215
2020-01-01T21:30,674.8789
2020-01-01T21:45,687.02856
2020-01-01T22:00,732.06354
2020-01-01T22:15,695.9992
2020-01-01T22:30,689.9347
2020-01-01T22:45,749.8279
2020-01-01T23:00,717.21185
2020-01-01T23:15,621.1631
2020-01-01T23:30,599.9146
2020-01-01T23:45,577.41644
2020-01-02T00:00,486.9018
2020-01-02T00:15,459.89008
2020-01-02T00:30,460.903
2020-01-02T00:45,404.0774
2020-01-02T01:00,357.5588
2020-01-02T01:15,356.2533
2020-01-02T01:30,503.21475
2020-01-02T01:45,562.7477
2020-01-02T02:00,379.388
2020-01-02T02:15,444.8704
2020-01-02T02:30,508.04965
2020-01-02T02:45,400.09598
2020-01-02T03:00,310.95444
2020-01-02T03:15,341.13977
2020-01-02T03:30,478.86157
2020-01-02T03:45,345.7735
2020-01-02T04:00,332.0238
2020-01-02T04:15,382.32904
2020-01-02T04:30,487.7471
2020-01-02T04:45,338.28564
2020-01-02T05:00,331.83936
2020-01-02T05:15,360.21118
2020-01-02T05:30,448.97803
2020-01-02T05:45,313.01874
2020-01-02T06:00,320.33707
2020-01-02T06:15,392.00272
2020-01-02T06:30,447.25745
2020-01-02T06:45,340.78595
2020-01-02T07:00,434.02832
2020-01-02T07:15,433.7517
2020-01-02T07:30,381.24594
2020-01-02T07:45,345.569
2020-01-02T08:00,413.59143
2020-01-02T08:15,448.87152
2020-01-02T08:30,415.14484
2020-01-02T08:45,523.2782
2020-01-02T09:00,550.76135
2020-01-02T09:15,592.8023
2020-01-02T09:30,393.84305
2020-01-02T09:45,484.28723
2020-01-02T10:00,573.5795
2020-01-02T10:15,487.5818
2020-01-02T10:30,879.23804
2020-01-02T10:45,731.65717
2020-01-02T11:00,795.50146
2020-01-02T11:15,710.6991
2020-01-02T11:30,720.75116
2020-01-02T11:45,789.5439
2020-01-02T12:00,798.45685
2020-01-02T12:15,684.88837
2020-01-02T12:30,681.77625
2020-01-02T12:45,1035.534
2020-01-02T13:00,1472.4756
2020-01-02T13:15,708.4656
2020-01-02T13:30,957.6448
2020-01-02T13:45,795.8916
2020-01-02T14:00,701.1807
2020-01-02T14:15,727.06976
2020-01-02T14:30,1587.5947
2020-01-02T14:45,698.1747
2020-01-02T15:00,666.0922
2020-01-02T15:15,587.9852
2020-01-02T15:30,688.6521
2020-01-02T15:45,837.36646
2020-01-02T16:00,646.81335
2020-01-02T16:15,742.5057
2020-01-02T16:30,1411.6742
2020-01-02T16:45,1760.184
2020-01-02T17:00,1344.3848
2020-01-02T17:15,715.45734
2020-01-02T17:30,785.07495
2020-01-02T17:45,1089.009
2020-01-02T18:00,1744.9237
2020-01-02T18:15,1775.9281
2020-01-02T18:30,1335.7262
2020-01-02T18:45,1638.2306
2020-01-02T19:00,1529.2205
2020-01-02T19:15,1166.5825
2020-01-02T19:30,1256.0076
2020-01-02T19:45,1218.2981
2020-01-02T20:00,1179.1818
2020-01-02T20:15,1013.86334
2020-01-02T20:30,787.9849
2020-01-02T20:45,793.81665
2020-01-02T21:00,694.19635
2020-01-02T21:15,831.81055
2020-01-02T21:30,762.979
2020-01-02T21:45,665.74084
2020-01-02T22:00,709.2115
2020-01-02T22:15,757.7549
2020-01-02T22:30,679.17114
2020-01-02T22:45,674.6324
2020-01-02T23:00,764.41693
2020-01-02T23:15,681.89136
2020-01-02T23:30,538.0846
2020-01-02T23:45,384.24414
2020-01-03T00:00,470.08115
2020-01-03T00:15,462.76312
2020-01-03T00:30,330.92502
2020-01-03T00:45,335.12994
2020-01-03T01:00,434.8492
2020-01-03T01:15,434.9382
2020-01-03T01:30,351.4059
2020-01-03T01:45,358.4027
2020-01-03T02:00,566.56635
2020-01-03T02:15,474.3092
2020-01-03T02:30,496.5168
2020-01-03T02:45,355.4488
2020-01-03T03:00,504.42575
2020-01-03T03:15,497.72073
2020-01-03T03:30,328.70862
2020-01-03T03:45,354.4861
2020-01-03T04:00,437.18793
2020-01-03T04:15,392.2352
2020-01-03T04:30,347.72168
2020-01-03T04:45,412.67535
2020-01-03T05:00,440.6014
2020-01-03T05:15,416.5032
2020-01-03T05:30,354.87604
2020-01-03T05:45,436.63675
2020-01-03T06:00,385.59235
2020-01-03T06:15,346.45605
2020-01-03T06:30,406.9473
2020-01-03T06:45,479.02728
2020-01-03T07:00,405.0446
2020-01-03T07:15,361.10898
2020-01-03T07:30,344.98975
2020-01-03T07:45,506.1857
2020-01-03T08:00,407.1751
2020-01-03T08:15,466.7444
2020-01-03T08:30,593.9078
2020-01-03T08:45,611.0045
2020-01-03T09:00,648.75964
2020-01-03T09:15,483.47778
2020-01-03T09:30,480.12015
2020-01-03T09:45,798.61005
2020-01-03T10:00,689.61316
2020-01-03T10:15,1028.8903
2020-01-03T10:30,821.0164
2020-01-03T10:45,831.56805
2020-01-03T11:00,712.0337
2020-01-03T11:15,841.8897
2020-01-03T11:30,796.5815
2020-01-03T11:45,719.88544
2020-01-03T12:00,1147.559
2020-01-03T12:15,1684.0645
2020-01-03T12:30,1532.3003
2020-01-03T12:45,797.43243
2020-01-03T13:00,895.69183
2020-01-03T13:15,850.09204
2020-01-03T13:30,684.87616
2020-01-03T13:45,935.451
2020-01-03T14:00,1018.68726
2020-01-03T14:15,1026.4484
2020-01-03T14:30,1074.2859
2020-01-03T14:45,969.53204
2020-01-03T15:00,1036.0712
2020-01-03T15:15,1089.0444
2020-01-03T15:30,1077.5546
2020-01-03T15:45,1097.9371
2020-01-03T16:00,1070.7286
2020-01-03T16:15,982.63385
2020-01-03T16:30,815.7076
2020-01-03T16:45,731.6526
2020-01-03T17:00,738.0521
2020-01-03T17:15,722.7474
2020-01-03T17:30,815.3977
2020-01-03T17:45,770.9313
2020-01-03T18:00,941.5705
2020-01-03T18:15,1462.1378
2020-01-03T18:30,1413.1226
2020-01-03T18:45,1019.04364
2020-01-03T19:00,789.33923
2020-01-03T19:15,815.4901
2020-01-03T19:30,705.9625
2020-01-03T19:45,770.28143
2020-01-03T20:00,918.8105
2020-01-03T20:15,816.1164
2020-01-03T20:30,749.83295
2020-01-03T20:45,796.5607
2020-01-03T21:00,850.0918
2020-01-03T21:15,770.99835
2020-01-03T21:30,767.54425
2020-01-03T21:45,805.33246
2020-01-03T22:00,758.27344
2020-01-03T22:15,754.00024
2020-01-03T22:30,756.14075
2020-01-03T22:45,830.1618
2020-01-03T23:00,765.5687
2020-01-03T23:15,646.6187
2020-01-03T23:30,675.90027
2020-01-03T23:45,824.5065
2020-01-04T00:00,597.872
2020-01-04T00:15,388.46793
2020-01-04T00:30,456.83206
2020-01-04T00:45,482.68408
2020-01-04T01:00,391.22424
2020-01-04T01:15,477.58142
2020-01-04T01:30,488.40094
2020-01-04T01:45,489.5935
2020-01-04T02:00,398.90628
2020-01-04T02:15,387.04245
2020-01-04T02:30,545.75494
2020-01-04T02:45,420.22314
2020-01-04T03:00,560.8268
2020-01-04T03:15,480.63684
2020-01-04T03:30,583.9953
2020-01-04T03:45,486.81256
2020-01-04T04:00,441.98682
2020-01-04T04:15,412.6474
2020-01-04T04:30,466.59308
2020-01-04T04:45,482.78238
2020-01-04T05:00,409.63608
2020-01-04T05:15,482.3147
2020-01-04T05:30,514.8486
2020-01-04T05:45,550.9725
2020-01-04T06:00,405.5138
2020-01-04T06:15,501.8726
2020-01-04T06:30,501.76675
2020-01-04T06:45,464.28503
2020-01-04T07:00,441.82697
2020-01-04T07:15,525.51263
2020-01-04T07:30,424.82977
2020-01-04T07:45,422.40552
2020-01-04T08:00,468.46204
2020-01-04T08:15,553.2947
2020-01-04T08:30,687.0961
2020-01-04T08:45,513.1857
