index,total_consumption_per_load
101,9028.57
120,8804.08
33,7992.44
150,7864.43
147,7720.96
165,7237.13
19,7025.58
136,6772.56
90,6625.65
5,6514.21
177,6481.01
32,6356.2
65,6200.78
140,6111.17
159,6047.3
181,5849.23
142,5822.55
9,5789.98
39,5715.11
182,5677.32
130,5672.05
200,5318.71
81,5276.55
184,5265.42
152,5168.49
117,5161.81
80,5115.49
170,5102.8
103,5102.4
55,5100.92
91,5068.29
188,4952.5
196,4897.72
124,4894.22
166,4867.35
17,4822.17
154,4678.76
10,4659.49
149,4644.83
31,4566.81
107,4550.94
199,4536.21
64,4532.2
66,4477.81
95,4418.88
86,4405.16
113,4394.8
129,4359.25
8,4346.88
58,4340.05
163,4328.95
63,4293.16
26,4287.8
158,4282.84
96,4279.02
125,4257.45
68,4223.37
143,4217.85
189,4210.42
98,4148.14
172,4087.39
176,4085.72
52,4082.89
168,4000.33
20,3957.06
131,3954.47
135,3927.44
18,3883.96
50,3872.62
16,3867.88
1,3800.0
38,3773.96
47,3758.26
109,3749.24
71,3714.86
198,3697.19
23,3634.97
195,3607.72
54,3564.24
34,3553.15
35,3538.49
146,3526.62
73,3481.54
114,3443.46
118,3426.7
115,3395.48
133,3382.53
57,3365.48
67,3350.0
36,3348.95
164,3346.86
108,3267.6
123,3262.43
153,3260.17
25,3254.83
162,3236.26
13,3233.85
145,3217.34
161,3165.7
42,3165.17
169,3153.48
187,3094.31
83,3082.82
43,3061.56
121,3015.31
105,3013.08
22,3008.54
141,2998.58
79,2941.76
178,2888.01
151,2866.87
74,2830.82
148,2819.47
185,2797.78
30,2792.92
27,2753.46
110,2749.01
60,2745.63
194,2732.39
15,2729.19
56,2722.77
144,2714.38
174,2693.31
119,2678.63
97,2626.61
132,2611.89
155,2589.0
167,2539.58
72,2510.57
192,2501.41
173,2491.91
160,2479.9
191,2461.49
94,2449.41
46,2393.28
179,2348.24
171,2296.69
53,2295.64
75,2265.54
93,2246.65
156,2243.95
139,2207.63
4,2195.62
100,2116.05
12,2113.53
88,2096.19
48,2044.83
138,2044.29
62,2035.95
7,2028.86
28,1979.73
37,1929.65
157,1872.05
104,1836.97
190,1832.77
92,1815.74
183,1807.17
69,1806.6
116,1801.74
128,1794.14
21,1767.65
186,1764.83
59,1741.88
111,1727.2
11,1720.4
14,1714.93
84,1708.29
77,1706.38
180,1690.74
137,1671.51
122,1667.34
99,1647.15
127,1641.94
106,1600.36
44,1590.28
102,1565.02
76,1563.98
41,1563.14
61,1534.67
134,1532.4
45,1488.92
6,1451.77
2,1394.93
85,1391.57
197,1351.67
3,1341.21
193,1309.77
49,1300.31
29,1258.22
87,1234.96
175,1036.2
51,985.2
78,981.23
24,803.15
70,743.48
82,727.79
89,726.61
40,677.98
126,612.69
112,494.24
