,index,interval,Power (W),temperature,radiation_surface,cloud_cover,month,hour_day,available
0,0,2019-01-01 00:00:00,0.0,6.518,0.0,0.985,1,0,0.0
1,1,2019-01-01 00:15:00,0.0,6.518,0.0,0.985,1,0,0.0
2,2,2019-01-01 00:30:00,0.0,6.518,0.0,0.985,1,0,0.0
3,3,2019-01-01 00:45:00,0.0,6.518,0.0,0.985,1,0,0.0
4,4,2019-01-01 01:00:00,0.0,6.919,0.0,0.987,1,1,0.0
5,5,2019-01-01 01:15:00,0.0,6.919,0.0,0.987,1,1,0.0
6,6,2019-01-01 01:30:00,0.0,6.919,0.0,0.987,1,1,0.0
7,7,2019-01-01 01:45:00,0.0,6.919,0.0,0.987,1,1,0.0
8,8,2019-01-01 02:00:00,0.0,7.014,0.0,0.98,1,2,0.0
9,9,2019-01-01 02:15:00,0.0,7.014,0.0,0.98,1,2,0.0
10,10,2019-01-01 02:30:00,0.0,7.014,0.0,0.98,1,2,0.0
11,11,2019-01-01 02:45:00,0.0,7.014,0.0,0.98,1,2,0.0
12,12,2019-01-01 03:00:00,0.0,6.709,0.0,0.965,1,3,0.0
13,13,2019-01-01 03:15:00,0.0,6.709,0.0,0.965,1,3,0.0
14,14,2019-01-01 03:30:00,0.0,6.709,0.0,0.965,1,3,0.0
15,15,2019-01-01 03:45:00,0.0,6.709,0.0,0.965,1,3,0.0
16,16,2019-01-01 04:00:00,0.0,6.28,0.0,0.97,1,4,0.0
17,17,2019-01-01 04:15:00,0.0,6.28,0.0,0.97,1,4,0.0
18,18,2019-01-01 04:30:00,0.0,6.28,0.0,0.97,1,4,0.0
19,19,2019-01-01 04:45:00,0.0,6.28,0.0,0.97,1,4,0.0
20,20,2019-01-01 05:00:00,0.0,6.129,0.0,0.987,1,5,0.0
21,21,2019-01-01 05:15:00,0.0,6.129,0.0,0.987,1,5,0.0
22,22,2019-01-01 05:30:00,0.0,6.129,0.0,0.987,1,5,0.0
23,23,2019-01-01 05:45:00,0.0,6.129,0.0,0.987,1,5,0.0
24,24,2019-01-01 06:00:00,0.0,6.228,0.0,0.972,1,6,0.0
25,25,2019-01-01 06:15:00,0.0,6.228,0.0,0.972,1,6,0.0
26,26,2019-01-01 06:30:00,0.0,6.228,0.0,0.972,1,6,0.0
27,27,2019-01-01 06:45:00,0.0,6.228,0.0,0.972,1,6,0.0
28,28,2019-01-01 07:00:00,0.0,6.384,0.596,0.959,1,7,0.0
29,29,2019-01-01 07:15:00,0.0,6.384,0.596,0.959,1,7,0.0
30,30,2019-01-01 07:30:00,0.0,6.384,0.596,0.959,1,7,0.0
31,31,2019-01-01 07:45:00,0.0,6.384,0.596,0.959,1,7,0.0
32,32,2019-01-01 08:00:00,0.0,6.562,4.748,0.966,1,8,0.0
33,33,2019-01-01 08:15:00,0.0,6.562,4.748,0.966,1,8,0.0
34,34,2019-01-01 08:30:00,0.0,6.562,4.748,0.966,1,8,0.0
35,35,2019-01-01 08:45:00,0.0,6.562,4.748,0.966,1,8,0.0
36,36,2019-01-01 09:00:00,64.0,6.76,9.235,0.878,1,9,1.0
37,37,2019-01-01 09:15:00,64.0,6.76,9.235,0.878,1,9,1.0
38,38,2019-01-01 09:30:00,64.0,6.76,9.235,0.878,1,9,1.0
39,39,2019-01-01 09:45:00,64.0,6.76,9.235,0.878,1,9,1.0
40,40,2019-01-01 10:00:00,1616.0,7.082,60.69,0.618,1,10,1.0
41,41,2019-01-01 10:15:00,1616.0,7.082,60.69,0.618,1,10,1.0
42,42,2019-01-01 10:30:00,1616.0,7.082,60.69,0.618,1,10,1.0
43,43,2019-01-01 10:45:00,1616.0,7.082,60.69,0.618,1,10,1.0
44,44,2019-01-01 11:00:00,3776.0,7.024,109.191,0.353,1,11,1.0
45,45,2019-01-01 11:15:00,3776.0,7.024,109.191,0.353,1,11,1.0
46,46,2019-01-01 11:30:00,3776.0,7.024,109.191,0.353,1,11,1.0
47,47,2019-01-01 11:45:00,3776.0,7.024,109.191,0.353,1,11,1.0
48,48,2019-01-01 12:00:00,6564.0,6.936,137.273,0.175,1,12,1.0
49,49,2019-01-01 12:15:00,6564.0,6.936,137.273,0.175,1,12,1.0
50,50,2019-01-01 12:30:00,6564.0,6.936,137.273,0.175,1,12,1.0
51,51,2019-01-01 12:45:00,6564.0,6.936,137.273,0.175,1,12,1.0
52,52,2019-01-01 13:00:00,4340.0,6.651,88.725,0.223,1,13,1.0
53,53,2019-01-01 13:15:00,4340.0,6.651,88.725,0.223,1,13,1.0
54,54,2019-01-01 13:30:00,4340.0,6.651,88.725,0.223,1,13,1.0
55,55,2019-01-01 13:45:00,4340.0,6.651,88.725,0.223,1,13,1.0
56,56,2019-01-01 14:00:00,536.0,5.937,17.581,0.227,1,14,1.0
57,57,2019-01-01 14:15:00,536.0,5.937,17.581,0.227,1,14,1.0
58,58,2019-01-01 14:30:00,536.0,5.937,17.581,0.227,1,14,1.0
59,59,2019-01-01 14:45:00,536.0,5.937,17.581,0.227,1,14,1.0
60,60,2019-01-01 15:00:00,0.0,5.141,0.0,0.306,1,15,0.0
61,61,2019-01-01 15:15:00,0.0,5.141,0.0,0.306,1,15,0.0
62,62,2019-01-01 15:30:00,0.0,5.141,0.0,0.306,1,15,0.0
63,63,2019-01-01 15:45:00,0.0,5.141,0.0,0.306,1,15,0.0
64,64,2019-01-01 16:00:00,0.0,4.545,0.0,0.448,1,16,0.0
65,65,2019-01-01 16:15:00,0.0,4.545,0.0,0.448,1,16,0.0
66,66,2019-01-01 16:30:00,0.0,4.545,0.0,0.448,1,16,0.0
67,67,2019-01-01 16:45:00,0.0,4.545,0.0,0.448,1,16,0.0
68,68,2019-01-01 17:00:00,0.0,4.041,0.0,0.456,1,17,0.0
69,69,2019-01-01 17:15:00,0.0,4.041,0.0,0.456,1,17,0.0
70,70,2019-01-01 17:30:00,0.0,4.041,0.0,0.456,1,17,0.0
71,71,2019-01-01 17:45:00,0.0,4.041,0.0,0.456,1,17,0.0
72,72,2019-01-01 18:00:00,0.0,3.589,0.0,0.421,1,18,0.0
73,73,2019-01-01 18:15:00,0.0,3.589,0.0,0.421,1,18,0.0
74,74,2019-01-01 18:30:00,0.0,3.589,0.0,0.421,1,18,0.0
75,75,2019-01-01 18:45:00,0.0,3.589,0.0,0.421,1,18,0.0
76,76,2019-01-01 19:00:00,0.0,3.257,0.0,0.549,1,19,0.0
77,77,2019-01-01 19:15:00,0.0,3.257,0.0,0.549,1,19,0.0
78,78,2019-01-01 19:30:00,0.0,3.257,0.0,0.549,1,19,0.0
79,79,2019-01-01 19:45:00,0.0,3.257,0.0,0.549,1,19,0.0
80,80,2019-01-01 20:00:00,0.0,3.099,0.0,0.846,1,20,0.0
81,81,2019-01-01 20:15:00,0.0,3.099,0.0,0.846,1,20,0.0
82,82,2019-01-01 20:30:00,0.0,3.099,0.0,0.846,1,20,0.0
83,83,2019-01-01 20:45:00,0.0,3.099,0.0,0.846,1,20,0.0
84,84,2019-01-01 21:00:00,0.0,2.989,0.0,0.931,1,21,0.0
85,85,2019-01-01 21:15:00,0.0,2.989,0.0,0.931,1,21,0.0
86,86,2019-01-01 21:30:00,0.0,2.989,0.0,0.931,1,21,0.0
87,87,2019-01-01 21:45:00,0.0,2.989,0.0,0.931,1,21,0.0
88,88,2019-01-01 22:00:00,0.0,3.109,0.0,0.897,1,22,0.0
