,interval,kWh
0,2020-01-01T00:00,0.0
1,2020-01-01T00:15,0.0
2,2020-01-01T00:30,0.0
3,2020-01-01T00:45,0.0
4,2020-01-01T01:00,0.0
5,2020-01-01T01:15,0.0
6,2020-01-01T01:30,0.0
7,2020-01-01T01:45,0.0
8,2020-01-01T02:00,0.0
9,2020-01-01T02:15,0.0
10,2020-01-01T02:30,0.0
11,2020-01-01T02:45,0.0
12,2020-01-01T03:00,0.0
13,2020-01-01T03:15,0.0
14,2020-01-01T03:30,0.0
15,2020-01-01T03:45,0.0
16,2020-01-01T04:00,0.0
17,2020-01-01T04:15,0.0
18,2020-01-01T04:30,0.0
19,2020-01-01T04:45,0.0
20,2020-01-01T05:00,0.0
21,2020-01-01T05:15,0.0
22,2020-01-01T05:30,0.0
23,2020-01-01T05:45,0.0
24,2020-01-01T06:00,0.0
25,2020-01-01T06:15,0.0
26,2020-01-01T06:30,0.0
27,2020-01-01T06:45,0.0
28,2020-01-01T07:00,0.0
29,2020-01-01T07:15,0.242
30,2020-01-01T07:30,0.242
31,2020-01-01T07:45,0.242
32,2020-01-01T08:00,0.242
33,2020-01-01T08:15,0.449
34,2020-01-01T08:30,0.449
35,2020-01-01T08:45,0.449
36,2020-01-01T09:00,0.449
37,2020-01-01T09:15,0.727
38,2020-01-01T09:30,0.727
39,2020-01-01T09:45,0.727
40,2020-01-01T10:00,0.727
41,2020-01-01T10:15,0.934
42,2020-01-01T10:30,0.934
43,2020-01-01T10:45,0.934
44,2020-01-01T11:00,0.934
45,2020-01-01T11:15,0.955
46,2020-01-01T11:30,0.955
47,2020-01-01T11:45,0.955
48,2020-01-01T12:00,0.955
49,2020-01-01T12:15,0.762
50,2020-01-01T12:30,0.762
51,2020-01-01T12:45,0.762
52,2020-01-01T13:00,0.762
53,2020-01-01T13:15,0.377
54,2020-01-01T13:30,0.377
55,2020-01-01T13:45,0.377
56,2020-01-01T14:00,0.377
57,2020-01-01T14:15,0.0
58,2020-01-01T14:30,0.0
59,2020-01-01T14:45,0.0
60,2020-01-01T15:00,0.0
61,2020-01-01T15:15,0.0
62,2020-01-01T15:30,0.0
63,2020-01-01T15:45,0.0
64,2020-01-01T16:00,0.0
65,2020-01-01T16:15,0.0
66,2020-01-01T16:30,0.0
67,2020-01-01T16:45,0.0
68,2020-01-01T17:00,0.0
69,2020-01-01T17:15,0.0
70,2020-01-01T17:30,0.0
71,2020-01-01T17:45,0.0
72,2020-01-01T18:00,0.0
73,2020-01-01T18:15,0.0
74,2020-01-01T18:30,0.0
75,2020-01-01T18:45,0.0
76,2020-01-01T19:00,0.0
77,2020-01-01T19:15,0.0
78,2020-01-01T19:30,0.0
79,2020-01-01T19:45,0.0
80,2020-01-01T20:00,0.0
81,2020-01-01T20:15,0.0
82,2020-01-01T20:30,0.0
83,2020-01-01T20:45,0.0
84,2020-01-01T21:00,0.0
85,2020-01-01T21:15,0.0
86,2020-01-01T21:30,0.0
87,2020-01-01T21:45,0.0
88,2020-01-01T22:00,0.0
89,2020-01-01T22:15,0.0
90,2020-01-01T22:30,0.0
91,2020-01-01T22:45,0.0
92,2020-01-01T23:00,0.0
93,2020-01-01T23:15,0.0
94,2020-01-01T23:30,0.0
95,2020-01-01T23:45,0.0
96,2020-01-02T00:00,0.0
97,2020-01-02T00:15,0.0
98,2020-01-02T00:30,0.0
99,2020-01-02T00:45,0.0
100,2020-01-02T01:00,0.0
101,2020-01-02T01:15,0.0
102,2020-01-02T01:30,0.0
103,2020-01-02T01:45,0.0
104,2020-01-02T02:00,0.0
105,2020-01-02T02:15,0.0
106,2020-01-02T02:30,0.0
107,2020-01-02T02:45,0.0
108,2020-01-02T03:00,0.0
109,2020-01-02T03:15,0.0
110,2020-01-02T03:30,0.0
111,2020-01-02T03:45,0.0
112,2020-01-02T04:00,0.0
113,2020-01-02T04:15,0.0
114,2020-01-02T04:30,0.0
115,2020-01-02T04:45,0.0
116,2020-01-02T05:00,0.0
117,2020-01-02T05:15,0.0
118,2020-01-02T05:30,0.0
119,2020-01-02T05:45,0.0
120,2020-01-02T06:00,0.0
121,2020-01-02T06:15,0.0
122,2020-01-02T06:30,0.0
123,2020-01-02T06:45,0.0
124,2020-01-02T07:00,0.0
125,2020-01-02T07:15,0.534
126,2020-01-02T07:30,0.534
127,2020-01-02T07:45,0.534
128,2020-01-02T08:00,0.534
129,2020-01-02T08:15,2.11
130,2020-01-02T08:30,2.11
131,2020-01-02T08:45,2.11
132,2020-01-02T09:00,2.11
133,2020-01-02T09:15,3.968
134,2020-01-02T09:30,3.968
135,2020-01-02T09:45,3.968
136,2020-01-02T10:00,3.968
137,2020-01-02T10:15,4.603
138,2020-01-02T10:30,4.603
139,2020-01-02T10:45,4.603
140,2020-01-02T11:00,4.603
141,2020-01-02T11:15,4.547
142,2020-01-02T11:30,4.547
143,2020-01-02T11:45,4.547
144,2020-01-02T12:00,4.547
145,2020-01-02T12:15,3.85
146,2020-01-02T12:30,3.85
147,2020-01-02T12:45,3.85
148,2020-01-02T13:00,3.85
149,2020-01-02T13:15,2.502
150,2020-01-02T13:30,2.502
151,2020-01-02T13:45,2.502
152,2020-01-02T14:00,2.502
153,2020-01-02T14:15,0.742
154,2020-01-02T14:30,0.742
155,2020-01-02T14:45,0.742
156,2020-01-02T15:00,0.742
157,2020-01-02T15:15,0.0
158,2020-01-02T15:30,0.0
159,2020-01-02T15:45,0.0
160,2020-01-02T16:00,0.0
161,2020-01-02T16:15,0.0
162,2020-01-02T16:30,0.0
163,2020-01-02T16:45,0.0
164,2020-01-02T17:00,0.0
165,2020-01-02T17:15,0.0
166,2020-01-02T17:30,0.0
167,2020-01-02T17:45,0.0
