interval,Power (W)
2020-01-01T00:00,0.0
2020-01-01T00:15,0.0
2020-01-01T00:30,0.0
2020-01-01T00:45,0.0
2020-01-01T01:00,0.0
2020-01-01T01:15,0.0
2020-01-01T01:30,0.0
2020-01-01T01:45,0.0
2020-01-01T02:00,0.0
2020-01-01T02:15,0.0
2020-01-01T02:30,0.0
2020-01-01T02:45,0.0
2020-01-01T03:00,0.0
2020-01-01T03:15,0.0
2020-01-01T03:30,0.0
2020-01-01T03:45,0.0
2020-01-01T04:00,0.0
2020-01-01T04:15,0.0
2020-01-01T04:30,0.0
2020-01-01T04:45,0.0
2020-01-01T05:00,0.0
2020-01-01T05:15,0.0
2020-01-01T05:30,0.0
2020-01-01T05:45,0.0
2020-01-01T06:00,0.0
2020-01-01T06:15,0.0
2020-01-01T06:30,0.0
2020-01-01T06:45,0.0
2020-01-01T07:00,0.0
2020-01-01T07:15,969.098
2020-01-01T07:30,969.09796
2020-01-01T07:45,969.09796
2020-01-01T08:00,969.098
2020-01-01T08:15,1795.1852
2020-01-01T08:30,1795.1852
2020-01-01T08:45,1795.1852
2020-01-01T09:00,1795.1852
2020-01-01T09:15,2906.5286
2020-01-01T09:30,2906.5286
2020-01-01T09:45,2906.5286
2020-01-01T10:00,2906.5286
2020-01-01T10:15,3736.3757
2020-01-01T10:30,3736.3757
2020-01-01T10:45,3736.3757
2020-01-01T11:00,3736.3757
2020-01-01T11:15,3821.881
2020-01-01T11:30,3821.881
2020-01-01T11:45,3821.881
2020-01-01T12:00,3821.881
2020-01-01T12:15,3047.8425
2020-01-01T12:30,3047.8425
2020-01-01T12:45,3047.8425
2020-01-01T13:00,3047.8425
2020-01-01T13:15,1507.057
2020-01-01T13:30,1507.057
2020-01-01T13:45,1507.057
2020-01-01T14:00,1507.057
2020-01-01T14:15,0.0
2020-01-01T14:30,0.0
2020-01-01T14:45,0.0
2020-01-01T15:00,0.0
2020-01-01T15:15,0.0
2020-01-01T15:30,0.0
2020-01-01T15:45,0.0
2020-01-01T16:00,0.0
2020-01-01T16:15,0.0
2020-01-01T16:30,0.0
2020-01-01T16:45,0.0
2020-01-01T17:00,0.0
2020-01-01T17:15,0.0
2020-01-01T17:30,0.0
2020-01-01T17:45,0.0
