interval,Power (W)
2020-01-01T00:00,0.0
2020-01-01T00:15,0.0
2020-01-01T00:30,0.0
2020-01-01T00:45,0.0
2020-01-01T01:00,0.0
2020-01-01T01:15,0.0
2020-01-01T01:30,0.0
2020-01-01T01:45,0.0
2020-01-01T02:00,0.0
2020-01-01T02:15,0.0
2020-01-01T02:30,0.0
2020-01-01T02:45,0.0
2020-01-01T03:00,0.0
2020-01-01T03:15,0.0
2020-01-01T03:30,0.0
2020-01-01T03:45,0.0
2020-01-01T04:00,0.0
2020-01-01T04:15,0.0
2020-01-01T04:30,0.0
2020-01-01T04:45,0.0
2020-01-01T05:00,0.0
2020-01-01T05:15,0.0
2020-01-01T05:30,0.0
2020-01-01T05:45,0.0
2020-01-01T06:00,0.0
2020-01-01T06:15,0.0
2020-01-01T06:30,0.0
2020-01-01T06:45,0.0
2020-01-01T07:00,8.0
2020-01-01T07:15,8.0
2020-01-01T07:30,8.0
2020-01-01T07:45,8.0
2020-01-01T08:00,420.0
2020-01-01T08:15,420.0
2020-01-01T08:30,420.0
2020-01-01T08:45,420.0
2020-01-01T09:00,968.0
2020-01-01T09:15,968.0
2020-01-01T09:30,968.0
2020-01-01T09:45,968.0
2020-01-01T10:00,1416.0
2020-01-01T10:15,1416.0
2020-01-01T10:30,1416.0
2020-01-01T10:45,1416.0
2020-01-01T11:00,1536.0
2020-01-01T11:15,1536.0
2020-01-01T11:30,1536.0
2020-01-01T11:45,1536.0
2020-01-01T12:00,1284.0
2020-01-01T12:15,1284.0
2020-01-01T12:30,1284.0
2020-01-01T12:45,1284.0
2020-01-01T13:00,716.0
2020-01-01T13:15,716.0
2020-01-01T13:30,716.0
2020-01-01T13:45,716.0
2020-01-01T14:00,100.0
2020-01-01T14:15,100.0
2020-01-01T14:30,100.0
2020-01-01T14:45,100.0
2020-01-01T15:00,0.0
2020-01-01T15:15,0.0
2020-01-01T15:30,0.0
2020-01-01T15:45,0.0
2020-01-01T16:00,0.0
2020-01-01T16:15,0.0
2020-01-01T16:30,0.0
2020-01-01T16:45,0.0
2020-01-01T17:00,0.0
2020-01-01T17:15,0.0
2020-01-01T17:30,0.0
2020-01-01T17:45,0.0
2020-01-01T18:00,0.0
2020-01-01T18:15,0.0
