# Renewables.ninja Solar PV (Point API) - 52.528, 13.389 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "52.5282", "lon": "13.3891", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "10", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2020-01-01 00:00,2020-01-01 01:00,0
2020-01-01 01:00,2020-01-01 02:00,0
2020-01-01 02:00,2020-01-01 03:00,0
2020-01-01 03:00,2020-01-01 04:00,0
2020-01-01 04:00,2020-01-01 05:00,0
2020-01-01 05:00,2020-01-01 06:00,0
2020-01-01 06:00,2020-01-01 07:00,0
2020-01-01 07:00,2020-01-01 08:00,0.005
2020-01-01 08:00,2020-01-01 09:00,0.262
2020-01-01 09:00,2020-01-01 10:00,0.606
2020-01-01 10:00,2020-01-01 11:00,0.885
2020-01-01 11:00,2020-01-01 12:00,0.960
2020-01-01 12:00,2020-01-01 13:00,0.804
2020-01-01 13:00,2020-01-01 14:00,0.449
2020-01-01 14:00,2020-01-01 15:00,0.063
2020-01-01 15:00,2020-01-01 16:00,0
2020-01-01 16:00,2020-01-01 17:00,0
2020-01-01 17:00,2020-01-01 18:00,0
2020-01-01 18:00,2020-01-01 19:00,0
2020-01-01 19:00,2020-01-01 20:00,0
2020-01-01 20:00,2020-01-01 21:00,0
2020-01-01 21:00,2020-01-01 22:00,0
2020-01-01 22:00,2020-01-01 23:00,0
2020-01-01 23:00,2020-01-02 00:00,0
2020-01-02 00:00,2020-01-02 01:00,0
2020-01-02 01:00,2020-01-02 02:00,0
2020-01-02 02:00,2020-01-02 03:00,0
2020-01-02 03:00,2020-01-02 04:00,0
2020-01-02 04:00,2020-01-02 05:00,0
2020-01-02 05:00,2020-01-02 06:00,0
2020-01-02 06:00,2020-01-02 07:00,0
2020-01-02 07:00,2020-01-02 08:00,0.183
2020-01-02 08:00,2020-01-02 09:00,2.066
2020-01-02 09:00,2020-01-02 10:00,4.321
2020-01-02 10:00,2020-01-02 11:00,5.103
2020-01-02 11:00,2020-01-02 12:00,5.110
2020-01-02 12:00,2020-01-02 13:00,4.396
2020-01-02 13:00,2020-01-02 14:00,2.899
2020-01-02 14:00,2020-01-02 15:00,0.815
2020-01-02 15:00,2020-01-02 16:00,0
2020-01-02 16:00,2020-01-02 17:00,0
2020-01-02 17:00,2020-01-02 18:00,0
2020-01-02 18:00,2020-01-02 19:00,0
2020-01-02 19:00,2020-01-02 20:00,0
2020-01-02 20:00,2020-01-02 21:00,0
2020-01-02 21:00,2020-01-02 22:00,0
2020-01-02 22:00,2020-01-02 23:00,0
2020-01-02 23:00,2020-01-03 00:00,0
2020-01-03 00:00,2020-01-03 01:00,0
2020-01-03 01:00,2020-01-03 02:00,0
2020-01-03 02:00,2020-01-03 03:00,0
2020-01-03 03:00,2020-01-03 04:00,0
2020-01-03 04:00,2020-01-03 05:00,0
2020-01-03 05:00,2020-01-03 06:00,0
2020-01-03 06:00,2020-01-03 07:00,0
2020-01-03 07:00,2020-01-03 08:00,0.036
2020-01-03 08:00,2020-01-03 09:00,0.264
2020-01-03 09:00,2020-01-03 10:00,0.344
2020-01-03 10:00,2020-01-03 11:00,0.550
2020-01-03 11:00,2020-01-03 12:00,0.674
2020-01-03 12:00,2020-01-03 13:00,0.503
2020-01-03 13:00,2020-01-03 14:00,0.242
2020-01-03 14:00,2020-01-03 15:00,0.010
2020-01-03 15:00,2020-01-03 16:00,0
2020-01-03 16:00,2020-01-03 17:00,0
2020-01-03 17:00,2020-01-03 18:00,0
2020-01-03 18:00,2020-01-03 19:00,0
2020-01-03 19:00,2020-01-03 20:00,0
2020-01-03 20:00,2020-01-03 21:00,0
2020-01-03 21:00,2020-01-03 22:00,0
2020-01-03 22:00,2020-01-03 23:00,0
2020-01-03 23:00,2020-01-04 00:00,0
2020-01-04 00:00,2020-01-04 01:00,0
2020-01-04 01:00,2020-01-04 02:00,0
2020-01-04 02:00,2020-01-04 03:00,0
2020-01-04 03:00,2020-01-04 04:00,0
2020-01-04 04:00,2020-01-04 05:00,0
2020-01-04 05:00,2020-01-04 06:00,0
2020-01-04 06:00,2020-01-04 07:00,0
2020-01-04 07:00,2020-01-04 08:00,0
2020-01-04 08:00,2020-01-04 09:00,0.083
2020-01-04 09:00,2020-01-04 10:00,0.147
2020-01-04 10:00,2020-01-04 11:00,0.231
2020-01-04 11:00,2020-01-04 12:00,0.137
2020-01-04 12:00,2020-01-04 13:00,0.251
2020-01-04 13:00,2020-01-04 14:00,0.144
2020-01-04 14:00,2020-01-04 15:00,0.077
2020-01-04 15:00,2020-01-04 16:00,0
2020-01-04 16:00,2020-01-04 17:00,0
2020-01-04 17:00,2020-01-04 18:00,0
2020-01-04 18:00,2020-01-04 19:00,0
2020-01-04 19:00,2020-01-04 20:00,0
2020-01-04 20:00,2020-01-04 21:00,0
2020-01-04 21:00,2020-01-04 22:00,0
2020-01-04 22:00,2020-01-04 23:00,0
2020-01-04 23:00,2020-01-05 00:00,0
2020-01-05 00:00,2020-01-05 01:00,0
2020-01-05 01:00,2020-01-05 02:00,0
2020-01-05 02:00,2020-01-05 03:00,0
2020-01-05 03:00,2020-01-05 04:00,0
2020-01-05 04:00,2020-01-05 05:00,0
2020-01-05 05:00,2020-01-05 06:00,0
2020-01-05 06:00,2020-01-05 07:00,0
2020-01-05 07:00,2020-01-05 08:00,0.040
2020-01-05 08:00,2020-01-05 09:00,0.867
2020-01-05 09:00,2020-01-05 10:00,2.701
2020-01-05 10:00,2020-01-05 11:00,4.755
2020-01-05 11:00,2020-01-05 12:00,4.744
2020-01-05 12:00,2020-01-05 13:00,3.935
2020-01-05 13:00,2020-01-05 14:00,2.194
2020-01-05 14:00,2020-01-05 15:00,0.401
2020-01-05 15:00,2020-01-05 16:00,0
2020-01-05 16:00,2020-01-05 17:00,0
2020-01-05 17:00,2020-01-05 18:00,0
2020-01-05 18:00,2020-01-05 19:00,0
2020-01-05 19:00,2020-01-05 20:00,0
2020-01-05 20:00,2020-01-05 21:00,0
2020-01-05 21:00,2020-01-05 22:00,0
2020-01-05 22:00,2020-01-05 23:00,0
2020-01-05 23:00,2020-01-06 00:00,0
2020-01-06 00:00,2020-01-06 01:00,0
2020-01-06 01:00,2020-01-06 02:00,0
2020-01-06 02:00,2020-01-06 03:00,0
2020-01-06 03:00,2020-01-06 04:00,0
2020-01-06 04:00,2020-01-06 05:00,0
2020-01-06 05:00,2020-01-06 06:00,0
2020-01-06 06:00,2020-01-06 07:00,0
2020-01-06 07:00,2020-01-06 08:00,0
2020-01-06 08:00,2020-01-06 09:00,0.230
2020-01-06 09:00,2020-01-06 10:00,0.700
2020-01-06 10:00,2020-01-06 11:00,1.152
2020-01-06 11:00,2020-01-06 12:00,1.399
2020-01-06 12:00,2020-01-06 13:00,1.197
2020-01-06 13:00,2020-01-06 14:00,0.764
2020-01-06 14:00,2020-01-06 15:00,0.187
2020-01-06 15:00,2020-01-06 16:00,0
2020-01-06 16:00,2020-01-06 17:00,0
2020-01-06 17:00,2020-01-06 18:00,0
2020-01-06 18:00,2020-01-06 19:00,0
2020-01-06 19:00,2020-01-06 20:00,0
2020-01-06 20:00,2020-01-06 21:00,0
2020-01-06 21:00,2020-01-06 22:00,0
2020-01-06 22:00,2020-01-06 23:00,0
2020-01-06 23:00,2020-01-07 00:00,0
2020-01-07 00:00,2020-01-07 01:00,0
2020-01-07 01:00,2020-01-07 02:00,0
2020-01-07 02:00,2020-01-07 03:00,0
2020-01-07 03:00,2020-01-07 04:00,0
2020-01-07 04:00,2020-01-07 05:00,0
2020-01-07 05:00,2020-01-07 06:00,0
2020-01-07 06:00,2020-01-07 07:00,0
2020-01-07 07:00,2020-01-07 08:00,0.041
2020-01-07 08:00,2020-01-07 09:00,0.639
2020-01-07 09:00,2020-01-07 10:00,0.909
2020-01-07 10:00,2020-01-07 11:00,0.635
2020-01-07 11:00,2020-01-07 12:00,0.250
2020-01-07 12:00,2020-01-07 13:00,0.212
2020-01-07 13:00,2020-01-07 14:00,0.178
2020-01-07 14:00,2020-01-07 15:00,0.025
2020-01-07 15:00,2020-01-07 16:00,0
2020-01-07 16:00,2020-01-07 17:00,0
2020-01-07 17:00,2020-01-07 18:00,0
2020-01-07 18:00,2020-01-07 19:00,0
2020-01-07 19:00,2020-01-07 20:00,0
2020-01-07 20:00,2020-01-07 21:00,0
2020-01-07 21:00,2020-01-07 22:00,0
