# Renewables.ninja Solar PV (Point API) - 52.529, 13.390 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "52.52891679508328", "lon": "13.389813284328389", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "capacity": "6", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2018-01-01 00:00,2018-01-01 01:00,0
2018-01-01 01:00,2018-01-01 02:00,0
2018-01-01 02:00,2018-01-01 03:00,0
2018-01-01 03:00,2018-01-01 04:00,0
2018-01-01 04:00,2018-01-01 05:00,0
2018-01-01 05:00,2018-01-01 06:00,0
2018-01-01 06:00,2018-01-01 07:00,0
2018-01-01 07:00,2018-01-01 08:00,0.126
2018-01-01 08:00,2018-01-01 09:00,1.182
2018-01-01 09:00,2018-01-01 10:00,1.918
2018-01-01 10:00,2018-01-01 11:00,1.776
2018-01-01 11:00,2018-01-01 12:00,1.219
2018-01-01 12:00,2018-01-01 13:00,1.308
2018-01-01 13:00,2018-01-01 14:00,0.894
2018-01-01 14:00,2018-01-01 15:00,0.150
2018-01-01 15:00,2018-01-01 16:00,0
2018-01-01 16:00,2018-01-01 17:00,0
2018-01-01 17:00,2018-01-01 18:00,0
2018-01-01 18:00,2018-01-01 19:00,0
2018-01-01 19:00,2018-01-01 20:00,0
2018-01-01 20:00,2018-01-01 21:00,0
2018-01-01 21:00,2018-01-01 22:00,0
2018-01-01 22:00,2018-01-01 23:00,0
2018-01-01 23:00,2018-01-02 00:00,0
2018-01-02 00:00,2018-01-02 01:00,0
2018-01-02 01:00,2018-01-02 02:00,0
2018-01-02 02:00,2018-01-02 03:00,0
2018-01-02 03:00,2018-01-02 04:00,0
2018-01-02 04:00,2018-01-02 05:00,0
2018-01-02 05:00,2018-01-02 06:00,0
2018-01-02 06:00,2018-01-02 07:00,0
2018-01-02 07:00,2018-01-02 08:00,0
2018-01-02 08:00,2018-01-02 09:00,0.020
2018-01-02 09:00,2018-01-02 10:00,0.081
2018-01-02 10:00,2018-01-02 11:00,0.259
2018-01-02 11:00,2018-01-02 12:00,0.438
2018-01-02 12:00,2018-01-02 13:00,0.319
2018-01-02 13:00,2018-01-02 14:00,0.105
2018-01-02 14:00,2018-01-02 15:00,0.003
2018-01-02 15:00,2018-01-02 16:00,0
2018-01-02 16:00,2018-01-02 17:00,0
2018-01-02 17:00,2018-01-02 18:00,0
2018-01-02 18:00,2018-01-02 19:00,0
2018-01-02 19:00,2018-01-02 20:00,0
2018-01-02 20:00,2018-01-02 21:00,0
2018-01-02 21:00,2018-01-02 22:00,0
2018-01-02 22:00,2018-01-02 23:00,0
2018-01-02 23:00,2018-01-03 00:00,0
2018-01-03 00:00,2018-01-03 01:00,0
2018-01-03 01:00,2018-01-03 02:00,0
2018-01-03 02:00,2018-01-03 03:00,0
2018-01-03 03:00,2018-01-03 04:00,0
2018-01-03 04:00,2018-01-03 05:00,0
2018-01-03 05:00,2018-01-03 06:00,0
2018-01-03 06:00,2018-01-03 07:00,0
2018-01-03 07:00,2018-01-03 08:00,0
2018-01-03 08:00,2018-01-03 09:00,0.064
2018-01-03 09:00,2018-01-03 10:00,0.060
2018-01-03 10:00,2018-01-03 11:00,0.215
2018-01-03 11:00,2018-01-03 12:00,0.797
2018-01-03 12:00,2018-01-03 13:00,1.140
2018-01-03 13:00,2018-01-03 14:00,0.609
2018-01-03 14:00,2018-01-03 15:00,0.072
2018-01-03 15:00,2018-01-03 16:00,0
2018-01-03 16:00,2018-01-03 17:00,0
2018-01-03 17:00,2018-01-03 18:00,0
2018-01-03 18:00,2018-01-03 19:00,0
2018-01-03 19:00,2018-01-03 20:00,0
2018-01-03 20:00,2018-01-03 21:00,0
2018-01-03 21:00,2018-01-03 22:00,0
2018-01-03 22:00,2018-01-03 23:00,0
2018-01-03 23:00,2018-01-04 00:00,0
2018-01-04 00:00,2018-01-04 01:00,0
2018-01-04 01:00,2018-01-04 02:00,0
2018-01-04 02:00,2018-01-04 03:00,0
2018-01-04 03:00,2018-01-04 04:00,0
2018-01-04 04:00,2018-01-04 05:00,0
2018-01-04 05:00,2018-01-04 06:00,0
2018-01-04 06:00,2018-01-04 07:00,0
2018-01-04 07:00,2018-01-04 08:00,0
2018-01-04 08:00,2018-01-04 09:00,0.061
2018-01-04 09:00,2018-01-04 10:00,0.150
2018-01-04 10:00,2018-01-04 11:00,0.184
2018-01-04 11:00,2018-01-04 12:00,0.178
2018-01-04 12:00,2018-01-04 13:00,0.206
2018-01-04 13:00,2018-01-04 14:00,0.326
2018-01-04 14:00,2018-01-04 15:00,0.076
2018-01-04 15:00,2018-01-04 16:00,0
2018-01-04 16:00,2018-01-04 17:00,0
2018-01-04 17:00,2018-01-04 18:00,0
2018-01-04 18:00,2018-01-04 19:00,0
2018-01-04 19:00,2018-01-04 20:00,0
2018-01-04 20:00,2018-01-04 21:00,0
2018-01-04 21:00,2018-01-04 22:00,0
