# Renewables.ninja Weather (Point API) - 52.528, 13.389 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, temperature in ºC, radiation_surface in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "52.5282", "lon": "13.3891", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": true}}
time,local_time,temperature,radiation_surface,cloud_cover
2018-01-01 00:00,2018-01-01 01:00,7.834,0,0.995
2018-01-01 01:00,2018-01-01 02:00,7.577,0,0.994
2018-01-01 02:00,2018-01-01 03:00,7.425,0,0.994
2018-01-01 03:00,2018-01-01 04:00,7.417,0,0.950
2018-01-01 04:00,2018-01-01 05:00,7.528,0,0.759
2018-01-01 05:00,2018-01-01 06:00,7.128,0,0.378
2018-01-01 06:00,2018-01-01 07:00,6.623,0,0.018
2018-01-01 07:00,2018-01-01 08:00,6.122,13.133,0.021
2018-01-01 08:00,2018-01-01 09:00,6.577,91.249,0.083
2018-01-01 09:00,2018-01-01 10:00,7.367,162.980,0.096
2018-01-01 10:00,2018-01-01 11:00,7.903,181.259,0.314
2018-01-01 11:00,2018-01-01 12:00,8.038,153.546,0.273
2018-01-01 12:00,2018-01-01 13:00,7.947,145.774,0.153
2018-01-01 13:00,2018-01-01 14:00,7.373,94.490,0.232
2018-01-01 14:00,2018-01-01 15:00,6.176,20.095,0.300
2018-01-01 15:00,2018-01-01 16:00,4.653,0,0.223
2018-01-01 16:00,2018-01-01 17:00,3.480,0,0.140
2018-01-01 17:00,2018-01-01 18:00,2.746,0,0.062
2018-01-01 18:00,2018-01-01 19:00,2.237,0,0.100
2018-01-01 19:00,2018-01-01 20:00,1.871,0,0.224
2018-01-01 20:00,2018-01-01 21:00,1.634,0,0.552
2018-01-01 21:00,2018-01-01 22:00,1.473,0,0.963
2018-01-01 22:00,2018-01-01 23:00,1.660,0,0.986
2018-01-01 23:00,2018-01-02 00:00,1.681,0,0.977
2018-01-02 00:00,2018-01-02 01:00,1.535,0,0.974
2018-01-02 01:00,2018-01-02 02:00,1.441,0,0.978
2018-01-02 02:00,2018-01-02 03:00,1.484,0,0.982
2018-01-02 03:00,2018-01-02 04:00,1.464,0,0.982
2018-01-02 04:00,2018-01-02 05:00,1.587,0,0.985
2018-01-02 05:00,2018-01-02 06:00,1.712,0,0.988
2018-01-02 06:00,2018-01-02 07:00,1.685,0,0.989
2018-01-02 07:00,2018-01-02 08:00,1.217,1.551,0.981
2018-01-02 08:00,2018-01-02 09:00,0.964,12.162,0.980
2018-01-02 09:00,2018-01-02 10:00,1.172,27.470,0.979
2018-01-02 10:00,2018-01-02 11:00,2.055,62.929,0.971
2018-01-02 11:00,2018-01-02 12:00,3.262,92.896,0.968
2018-01-02 12:00,2018-01-02 13:00,4.031,72.326,0.929
2018-01-02 13:00,2018-01-02 14:00,4.311,32.066,0.850
2018-01-02 14:00,2018-01-02 15:00,4.365,6.429,0.739
2018-01-02 15:00,2018-01-02 16:00,4.169,0,0.666
2018-01-02 16:00,2018-01-02 17:00,3.766,0,0.680
2018-01-02 17:00,2018-01-02 18:00,3.672,0,0.689
2018-01-02 18:00,2018-01-02 19:00,3.359,0,0.619
2018-01-02 19:00,2018-01-02 20:00,3.164,0,0.573
2018-01-02 20:00,2018-01-02 21:00,2.842,0,0.570
2018-01-02 21:00,2018-01-02 22:00,2.356,0,0.432
2018-01-02 22:00,2018-01-02 23:00,1.795,0,0.359
2018-01-02 23:00,2018-01-03 00:00,1.601,0,0.615
2018-01-03 00:00,2018-01-03 01:00,1.531,0,0.965
2018-01-03 01:00,2018-01-03 02:00,1.568,0,0.992
2018-01-03 02:00,2018-01-03 03:00,1.615,0,0.996
2018-01-03 03:00,2018-01-03 04:00,1.605,0,0.995
2018-01-03 04:00,2018-01-03 05:00,1.482,0,0.995
2018-01-03 05:00,2018-01-03 06:00,1.028,0,0.992
2018-01-03 06:00,2018-01-03 07:00,0.938,0,0.985
2018-01-03 07:00,2018-01-03 08:00,1.381,2.826,0.985
2018-01-03 08:00,2018-01-03 09:00,1.820,22.713,0.961
2018-01-03 09:00,2018-01-03 10:00,3.394,22.690,0.942
2018-01-03 10:00,2018-01-03 11:00,5.206,55.058,0.785
2018-01-03 11:00,2018-01-03 12:00,5.725,134.055,0.369
2018-01-03 12:00,2018-01-03 13:00,5.476,146.578,0.295
2018-01-03 13:00,2018-01-03 14:00,4.985,86.551,0.362
2018-01-03 14:00,2018-01-03 15:00,4.131,17.407,0.777
2018-01-03 15:00,2018-01-03 16:00,3.634,0,0.949
2018-01-03 16:00,2018-01-03 17:00,3.843,0,0.953
2018-01-03 17:00,2018-01-03 18:00,4.671,0,0.860
2018-01-03 18:00,2018-01-03 19:00,5.215,0,0.768
2018-01-03 19:00,2018-01-03 20:00,5.467,0,0.767
2018-01-03 20:00,2018-01-03 21:00,5.520,0,0.874
2018-01-03 21:00,2018-01-03 22:00,5.595,0,0.941
2018-01-03 22:00,2018-01-03 23:00,5.684,0,0.977
2018-01-03 23:00,2018-01-04 00:00,5.759,0,0.993
2018-01-04 00:00,2018-01-04 01:00,5.790,0,0.993
2018-01-04 01:00,2018-01-04 02:00,5.755,0,0.986
2018-01-04 02:00,2018-01-04 03:00,5.614,0,0.963
2018-01-04 03:00,2018-01-04 04:00,5.317,0,0.915
2018-01-04 04:00,2018-01-04 05:00,5.228,0,0.907
2018-01-04 05:00,2018-01-04 06:00,5.445,0,0.868
2018-01-04 06:00,2018-01-04 07:00,5.510,0,0.813
2018-01-04 07:00,2018-01-04 08:00,5.468,3.619,0.822
2018-01-04 08:00,2018-01-04 09:00,5.587,22.414,0.805
2018-01-04 09:00,2018-01-04 10:00,5.817,42.312,0.782
2018-01-04 10:00,2018-01-04 11:00,6.107,49.887,0.825
2018-01-04 11:00,2018-01-04 12:00,6.376,48.611,0.794
2018-01-04 12:00,2018-01-04 13:00,6.611,53.309,0.593
2018-01-04 13:00,2018-01-04 14:00,6.640,66.378,0.316
2018-01-04 14:00,2018-01-04 15:00,5.753,19.043,0.508
2018-01-04 15:00,2018-01-04 16:00,4.858,0,0.797
2018-01-04 16:00,2018-01-04 17:00,4.961,0,0.702
2018-01-04 17:00,2018-01-04 18:00,4.785,0,0.591
2018-01-04 18:00,2018-01-04 19:00,4.726,0,0.597
2018-01-04 19:00,2018-01-04 20:00,4.222,0,0.607
2018-01-04 20:00,2018-01-04 21:00,3.970,0,0.561
2018-01-04 21:00,2018-01-04 22:00,3.854,0,0.629
2018-01-04 22:00,2018-01-04 23:00,3.979,0,0.687
2018-01-04 23:00,2018-01-05 00:00,4.833,0,0.570
2018-01-05 00:00,2018-01-05 01:00,5.981,0,0.163
2018-01-05 01:00,2018-01-05 02:00,6.197,0,0.083
2018-01-05 02:00,2018-01-05 03:00,5.703,0,0.095
2018-01-05 03:00,2018-01-05 04:00,5.382,0,0.160
2018-01-05 04:00,2018-01-05 05:00,5.310,0,0.139
2018-01-05 05:00,2018-01-05 06:00,5.137,0,0.171
2018-01-05 06:00,2018-01-05 07:00,4.910,0,0.181
2018-01-05 07:00,2018-01-05 08:00,4.843,12.126,0.288
2018-01-05 08:00,2018-01-05 09:00,5.554,72.091,0.448
